iter	Accuracy	Logloss
746	0.7839027012	0.4680116792
747	0.7838902014	0.4679983492
748	0.7839027012	0.4679980074
749	0.7838902014	0.4679960543
750	0.7839402007	0.4679899021
751	0.7839652004	0.4679872654
752	0.7840027	0.4679720312
753	0.7840027	0.4679717382
754	0.7840027	0.4679644629
755	0.7839777003	0.4679609962
756	0.7839777003	0.4679601661
757	0.7840027	0.4679578712
758	0.7840027	0.4679572853
759	0.7840151998	0.4679568459
760	0.7840151998	0.467946885
761	0.7840151998	0.4679426859
762	0.7840901989	0.4679371195
763	0.7841026987	0.4679341899
764	0.784077699	0.4679303813
765	0.784077699	0.4679294536
766	0.784077699	0.467926524
767	0.784077699	0.4679254009
768	0.784077699	0.4679253033
769	0.784077699	0.4679252544
770	0.784077699	0.4679245709
771	0.7840651992	0.4679149518
772	0.7840651992	0.4679119245
773	0.7840651992	0.4679113386
774	0.7840526993	0.4679107527
775	0.7841026987	0.4679083113
776	0.7841151986	0.467899913
777	0.7841151986	0.4678976181
778	0.7841151986	0.4678965927
779	0.784077699	0.4678938095
780	0.7841276984	0.4678870225
781	0.7841901976	0.4678768176
782	0.7840651992	0.467866222
783	0.784077699	0.4678589467
784	0.7841776978	0.467853771
785	0.7841401982	0.4678430289
786	0.7841026987	0.4678324333
787	0.7840651992	0.4678290154
788	0.784077699	0.467824328
789	0.784077699	0.4678160273
790	0.7840526993	0.4678064571
791	0.784077699	0.467802795
792	0.7840526993	0.4678026486
793	0.7840651992	0.4677992795
794	0.7840401995	0.4677894163
795	0.7840526993	0.4677848265
796	0.7840651992	0.46778385
797	0.784077699	0.4677831176
798	0.7840276997	0.4677759887
799	0.7840401995	0.4677727173
800	0.7840276997	0.46776261
801	0.7840401995	0.4677453251
802	0.7840401995	0.4677451786
803	0.7840526993	0.4677418095
804	0.784077699	0.4677283819
805	0.784077699	0.467724964
806	0.784077699	0.4677234992
807	0.784077699	0.4677228644
808	0.7840526993	0.4677221808
809	0.7841026987	0.4677189094
810	0.7841276984	0.4677129036
811	0.7840901989	0.4677027475
812	0.7840901989	0.4676940073
813	0.7841276984	0.4676920054
814	0.7840901989	0.4676917613
815	0.7841026987	0.4676344866
816	0.7841026987	0.4676339495
817	0.7840901989	0.4676318011
818	0.7841151986	0.4676207661
819	0.7840901989	0.4676117818
820	0.784077699	0.4676068991
821	0.7840901989	0.4676043112
822	0.7840526993	0.467593618
823	0.7840526993	0.4675933738
824	0.7840401995	0.4675915672
825	0.7840651992	0.4675863915
826	0.7840526993	0.4675864403
827	0.7840901989	0.4675798486
828	0.7840901989	0.4675785791
829	0.7842026975	0.4675673488
830	0.7842151973	0.4675650539
831	0.7842151973	0.4675624172
832	0.7842151973	0.4675620754
833	0.7841776978	0.467559927
834	0.7842276972	0.4675508451
835	0.7842276972	0.467548599
836	0.784240197	0.4675474271
837	0.7842276972	0.4675472318
838	0.7842151973	0.4675462553
839	0.7842151973	0.4675441069
840	0.7842276972	0.467543228
841	0.7842026975	0.467541519
842	0.7842026975	0.4675414214
843	0.7842151973	0.4675317047
844	0.7842151973	0.4675311188
845	0.7842151973	0.467528775
846	0.7842151973	0.4675240876
847	0.7842151973	0.4675226716
848	0.7842151973	0.4675224275
849	0.7842276972	0.467504996
850	0.7842901964	0.4675040683
851	0.7842901964	0.4675034824
852	0.7843401957	0.4675000156
853	0.7843276959	0.4674995762
854	0.7843151961	0.4674919591
855	0.7843151961	0.4674904454
856	0.7843151961	0.4674903966
857	0.7843151961	0.467486881
858	0.7843276959	0.4674847814
859	0.7843276959	0.4674841955
860	0.7843276959	0.4674828283
861	0.7843276959	0.4674828772
862	0.7843651954	0.4674703285
863	0.7843651954	0.4674700355
864	0.7843776953	0.4674679359
865	0.7843776953	0.4674664711
866	0.7843776953	0.4674663246
867	0.7843651954	0.4674629555
868	0.784402695	0.4674579263
869	0.7844276947	0.4674465495
870	0.7844276947	0.467446403
871	0.7844401945	0.4674395672
872	0.7844401945	0.4674392742
873	0.7843651954	0.4674235029
874	0.7843901951	0.467412712
